119,246.6,2,37.37,"LINESTRING(104.090914 30.677201,104.091182 30.677387,104.091518 30.677707,104.091907 30.678143,104.092116 30.678405,104.092240 30.678589,104.092285 30.678778,104.092334 30.678861,104.092450 30.678936)"
120,211.25,4,41.23,"LINESTRING(104.091073 30.677400,104.091173 30.677522,104.091436 30.677764,104.092079 30.678567,104.092219 30.678705,104.092326 30.678761,104.092498 30.678800)"
121,384.59,2,140.3,"LINESTRING(104.092450 30.678936,104.092566 30.678869,104.092673 30.678758,104.092875 30.678601,104.093541 30.677956,104.094279 30.677279,104.094513 30.677023,104.094581 30.676949,104.094771 30.676718,104.094961 30.676398,104.095005 30.676297)"
122,13.45,2,157.45,"LINESTRING(104.095005 30.676297,104.095044 30.676211,104.095056 30.676185)"
123,31.55,2,159.77,"LINESTRING(104.095056 30.676185,104.095068 30.676156,104.095168 30.675918)"
124,51.73,2,160.25,"LINESTRING(104.095168 30.675918,104.095352 30.675480)"
125,74.76,2,159.37,"LINESTRING(104.095352 30.675480,104.095598 30.674893,104.095629 30.674853)"
126,258.97,5,100.48,"LINESTRING(104.086704 30.722168,104.087310 30.722036,104.088839 30.721801,104.089365 30.721745)"
127,21.77,2,145.78,"LINESTRING(104.095629 30.674853,104.095753 30.674689)"
128,12.5,4,342.92,"LINESTRING(104.100001 30.664303,104.099959 30.664410)"
129,83.58,4,341.72,"LINESTRING(104.099959 30.664410,104.099686 30.665124)"
130,377.06,4,341.24,"LINESTRING(104.099686 30.665124,104.099275 30.666247,104.099006 30.666888,104.098418 30.668334)"
131,250.64,4,340.79,"LINESTRING(104.098418 30.668334,104.097555 30.670462)"
132,154.24,4,327.72,"LINESTRING(104.093732 30.678013,104.093120 30.678613,104.093018 30.678716,104.092961 30.678849,104.092892 30.679155)"
133,400.4,4,150.94,"LINESTRING(104.093683 30.677975,104.094354 30.677330,104.094654 30.677007,104.094858 30.676740,104.095040 30.676417,104.095677 30.674895,104.095687 30.674870)"
134,21.16,4,161.95,"LINESTRING(104.095687 30.674870,104.095753 30.674689)"
135,150.07,4,299.68,"LINESTRING(104.090658 30.680277,104.089533 30.680848,104.089297 30.680947)"
136,311.29,4,296.47,"LINESTRING(104.089297 30.680947,104.089092 30.680938,104.088907 30.680974,104.088630 30.681036,104.088136 30.681302,104.086422 30.682174)"
137,739.52,5,93.14,"LINESTRING(104.089365 30.721745,104.090341 30.721671,104.092061 30.721588,104.094134 30.721505,104.097090 30.721381)"
138,313.73,4,300.68,"LINESTRING(104.086422 30.682174,104.083600 30.683614)"
139,300.22,4,296.36,"LINESTRING(104.083600 30.683614,104.082076 30.684333,104.080791 30.684814)"
140,18.71,4,293.26,"LINESTRING(104.080791 30.684814,104.080611 30.684879)"
141,147.75,4,118.46,"LINESTRING(104.089276 30.680863,104.089495 30.680799,104.090632 30.680233)"
142,55.49,2,132.09,"LINESTRING(104.088625 30.680954,104.088934 30.680679,104.089052 30.680622)"
143,191.42,2,119.73,"LINESTRING(104.089052 30.680622,104.090510 30.679926,104.090788 30.679767)"
144,151.28,2,116.63,"LINESTRING(104.090788 30.679767,104.091207 30.679568,104.091482 30.679437,104.091660 30.679416,104.091808 30.679343,104.091976 30.679313,104.092102 30.679247,104.092180 30.679169)"
145,146.9,2,304.92,"LINESTRING(104.092343 30.679381,104.092239 30.679383,104.092057 30.679449,104.091920 30.679581,104.091662 30.679719,104.091429 30.679903,104.091109 30.680122)"
146,46.48,2,291.76,"LINESTRING(104.091109 30.680122,104.090943 30.680189,104.090658 30.680277)"
147,120.52,2,208.62,"LINESTRING(104.089052 30.680622,104.088447 30.679672)"
148,172.25,5,92.82,"LINESTRING(104.097090 30.721381,104.098491 30.721323,104.098889 30.721303)"
149,120.52,2,28.62,"LINESTRING(104.088447 30.679672,104.089052 30.680622)"
150,329.58,2,209.72,"LINESTRING(104.088447 30.679672,104.086836 30.677238,104.086740 30.677097)"
151,329.58,2,29.72,"LINESTRING(104.086740 30.677097,104.086836 30.677238,104.088447 30.679672)"
152,249.51,4,119.12,"LINESTRING(104.086345 30.682046,104.086486 30.681978,104.088107 30.681188,104.088625 30.680954)"
153,63.24,4,99.22,"LINESTRING(104.088625 30.680954,104.088846 30.680909,104.089152 30.680870,104.089276 30.680863)"
154,319.11,2,211.14,"LINESTRING(104.086740 30.677097,104.086647 30.676961,104.085622 30.675455,104.085011 30.674643)"
155,319.11,2,31.14,"LINESTRING(104.085011 30.674643,104.085622 30.675455,104.086647 30.676961,104.086740 30.677097)"
156,228.42,3,29.69,"LINESTRING(104.088206 30.684951,104.089389 30.686736)"
157,228.42,3,209.69,"LINESTRING(104.089389 30.686736,104.088206 30.684951)"
158,189.16,3,30.27,"LINESTRING(104.089389 30.686736,104.090382 30.688207)"
159,610.07,5,285.74,"LINESTRING(104.128812 30.717212,104.128110 30.717498,104.126905 30.717904,104.125779 30.718190,104.124523 30.718402,104.122698 30.718695)"
160,189.16,3,210.27,"LINESTRING(104.090382 30.688207,104.089389 30.686736)"
161,144.89,3,30.24,"LINESTRING(104.090382 30.688207,104.091145 30.689333)"
162,144.89,3,210.24,"LINESTRING(104.091145 30.689333,104.090382 30.688207)"
163,16.05,3,29.46,"LINESTRING(104.086345 30.682046,104.086422 30.682174)"
164,16.05,3,209.46,"LINESTRING(104.086422 30.682174,104.086345 30.682046)"
165,261.08,3,28.39,"LINESTRING(104.086422 30.682174,104.087277 30.683574,104.087722 30.684238)"
166,261.08,3,208.39,"LINESTRING(104.087722 30.684238,104.087277 30.683574,104.086422 30.682174)"
167,91.84,3,30.09,"LINESTRING(104.087722 30.684238,104.088122 30.684833,104.088206 30.684951)"
168,91.84,3,210.09,"LINESTRING(104.088206 30.684951,104.088122 30.684833,104.087722 30.684238)"
169,19.32,4,114.14,"LINESTRING(104.080525 30.684752,104.080709 30.684681)"
170,1496.53,5,279.02,"LINESTRING(104.122698 30.718695,104.117807 30.719481,104.115951 30.719765,104.111574 30.720283,104.107239 30.720802)"
171,297.87,4,117.59,"LINESTRING(104.080709 30.684681,104.081953 30.684213,104.083466 30.683444)"
172,316.2,4,119.44,"LINESTRING(104.083466 30.683444,104.086345 30.682046)"
173,309.24,4,28.31,"LINESTRING(104.082835 30.665362,104.084368 30.667811)"
174,199.06,2,35.36,"LINESTRING(104.089226 30.675100,104.089426 30.675306,104.090428 30.676561)"
175,85.06,2,32.9,"LINESTRING(104.090428 30.676561,104.090810 30.677045,104.090914 30.677201)"
176,26.83,2,34.53,"LINESTRING(104.090914 30.677201,104.091073 30.677400)"
177,157.81,4,29.68,"LINESTRING(104.086633 30.671449,104.087450 30.672682)"
178,92.8,4,297.34,"LINESTRING(104.090445 30.663474,104.089583 30.663856)"
179,187.36,4,296.74,"LINESTRING(104.112040 30.653417,104.111601 30.653570,104.110293 30.654175)"
180,67.25,4,298.45,"LINESTRING(104.110293 30.654175,104.109674 30.654462)"
181,105.99,5,277.25,"LINESTRING(104.107239 30.720802,104.106139 30.720922)"
182,156.99,4,298.96,"LINESTRING(104.109674 30.654462,104.108627 30.654946,104.108239 30.655146)"
183,120.69,4,297.99,"LINESTRING(104.108239 30.655146,104.108005 30.655245,104.107124 30.655654)"
184,237.47,4,298.4,"LINESTRING(104.107124 30.655654,104.104940 30.656669)"
185,251.25,4,298.37,"LINESTRING(104.104940 30.656669,104.102811 30.657658,104.102630 30.657744)"
186,289.77,4,299.19,"LINESTRING(104.102630 30.657744,104.102359 30.657874,104.099985 30.659015)"
187,180.4,4,298.36,"LINESTRING(104.099985 30.659015,104.098324 30.659784)"
188,29.74,4,296.69,"LINESTRING(104.098324 30.659784,104.098047 30.659906)"
189,98.73,4,297.81,"LINESTRING(104.098047 30.659906,104.097771 30.660011,104.097135 30.660319)"
190,176.21,4,299.33,"LINESTRING(104.097135 30.660319,104.095530 30.661097)"
191,189.13,4,297.0,"LINESTRING(104.095530 30.661097,104.093768 30.661869)"
192,25.11,4,200.39,"LINESTRING(104.101088 30.717194,104.100998 30.716982)"
193,209.92,4,298.77,"LINESTRING(104.093768 30.661869,104.091843 30.662776)"
194,154.58,4,300.1,"LINESTRING(104.091843 30.662776,104.090445 30.663474)"
195,265.98,4,118.43,"LINESTRING(104.065554 30.674849,104.067998 30.673708)"
